Date,SP Returns,3-month T.Bill,US T. Bond (10-year), Baa Corporate Bond
1928-12-31,0.3788,0.0308,0.008354708589799302,0.03219551470232438
1929-12-31,-0.1191,0.0316,0.04203804156320426,0.03017856239904043
1930-12-31,-0.2848,0.0455,0.045409314348970366,0.005397809464823829
1931-12-31,-0.4707,0.0231,-0.02558855961942253,-0.15680775082667592
1932-12-31,-0.1515,0.0107,0.08790306990477326,0.23589601675740196
1933-12-31,0.4659,0.0096,0.01855272089185736,0.1296689369754826
1934-12-31,-0.0594,0.0027833333333333334,0.0796344261796561,0.18816429268482648
1935-12-31,0.4137,0.001675,0.04472047729656613,0.1330773186567917
1936-12-31,0.2792,0.001725,0.0501787540454506,0.11383815871922703
1937-12-31,-0.3859,0.002758333333333333,0.01379146059646038,-0.044161916839982614
1938-12-31,0.2521,0.00065,0.04213248532204607,0.0923588171368742
1939-12-31,-0.0545,0.0004583333333333333,0.04412261394206067,0.0798313776534614
1940-12-31,-0.1529,0.00035833333333333333,0.05402481596284551,0.08648137177582957
1941-12-31,-0.1786,0.0012916666666666669,-0.020221975848580105,0.05007172857275923
1942-12-31,0.1243,0.003425,0.022948682374484164,0.051799010426587015
1943-12-31,0.1945,0.0038,0.0249,0.08044670060105924
1944-12-31,0.138,0.0038,0.025776111579070303,0.0656586358825617
1945-12-31,0.3072,0.0038,0.03804417341923723,0.06799865477817886
1946-12-31,-0.1187,0.0038,0.031283745375695685,0.025080329773195936
1947-12-31,0.0,0.006008333333333333,0.009196968062832236,0.0026212022665691934
1948-12-31,-0.0065,0.01045,0.019510369413175046,0.03436959560510321
1949-12-31,0.1026,0.01115,0.04663485182797314,0.053773011179658936
1950-12-31,0.2178,0.012033333333333333,0.00429595741710961,0.042388173056720914
1951-12-31,0.1646,0.015175000000000001,-0.0029531392208319886,-0.001909809130136969
1952-12-31,0.1178,0.017225,0.022679961918305656,0.04441241504740077
1953-12-31,-0.0662,0.018908333333333333,0.04143840258908851,0.016201123818443276
1954-12-31,0.4502,0.0093752,0.032898034558095555,0.061579051817707856
1955-12-31,0.264,0.017243426294820716,-0.013364391288618781,0.02044690004344954
1956-12-31,0.0262,0.026213888888888887,-0.022557738173154165,-0.023526541979620903
1957-12-31,-0.1431,0.03224566929133858,0.0679701284662499,-0.007189284402542365
1958-12-31,0.3806,0.017665461847389558,-0.020990181755274694,0.06430092897336026
1959-12-31,0.0848,0.0338601593625498,-0.026466312591385065,0.015743430895022732
1960-12-31,-0.0297,0.028729718875502006,0.11639503690963365,0.06663187163303434
1961-12-31,0.2313,0.023524899598393576,0.020609208076323167,0.051
1962-12-31,-0.1181,0.027723694779116466,0.05693544054008462,0.06495327993606576
1963-12-31,0.1889,0.03156024096385542,0.016841620739546127,0.054644805711862345
1964-12-31,0.1297,0.035457370517928286,0.037280648911540815,0.05161739272285027
1965-12-31,0.0906,0.03949076305220883,0.007188550935926234,0.03190009462253881
1966-12-31,-0.1309,0.048557199999999995,0.029079409324299622,-0.03445361597577637
1967-12-31,0.2009,0.04293453815261044,-0.015806209932824666,0.008952266148446825
1968-12-31,0.0766,0.053376,0.032746196950768365,0.04845146224309746
1969-12-31,-0.1136,0.06668467741935484,-0.050140493209926106,-0.02025164250792147
1970-12-31,0.001,0.06391,0.16754737183412338,0.05649567656988873
1971-12-31,0.1079,0.0433425702811245,0.09786896619712297,0.1400146617421994
1972-12-31,0.1563,0.0406184,0.02818449050444969,0.11409093579389698
1973-12-31,-0.1737,0.07035443548387096,0.036586646024150085,0.043180404854323576
1974-12-31,-0.2972,0.07845783132530121,0.019886086932378574,-0.04380719797719167
1975-12-31,0.3155,0.05786385542168675,0.03605253602603384,0.11049964074144952
1976-12-31,0.1915,0.049766000000000005,0.1598456074290921,0.19752813987098014
1977-12-31,-0.115,0.05260963855421687,0.012899606071070449,0.09954662852090639
1978-12-31,0.0106,0.07178306451612904,-0.007775806907508648,0.03137584977169086
1979-12-31,0.1231,0.10054274193548388,0.006707203124723546,-0.020091101436615355
1980-12-31,0.2577,0.1139188,-0.02989744251999403,-0.033156783371910456
1981-12-31,-0.0973,0.14036184738955823,0.08199215335892354,0.08462399480891206
1982-12-31,0.1476,0.1109,0.32814549486295586,0.2905245565590866
1983-12-31,0.1727,0.0895,0.032002094451429264,0.16194289622798344
1984-12-31,0.014,0.0992,0.13733364344102345,0.15619207332454216
1985-12-31,0.2633,0.07719999999999999,0.2571248821260641,0.23862641849916477
1986-12-31,0.1462,0.061500000000000006,0.24284215141767618,0.2214614600547623
1987-12-31,0.0203,0.0596,-0.04960508937926228,0.011171968043818023
1988-12-31,0.124,0.0689,0.08223595843484167,0.15681384703221346
1989-12-31,0.2725,0.0839,0.17693647159446219,0.16312115752422615
1990-12-31,-0.0656,0.0775,0.06235375333553336,0.056477750205500804
1991-12-31,0.2631,0.0554,0.15004510019517303,0.16400049125760602
1992-12-31,0.0446,0.0351,0.09361637316207942,0.13682874000406886
1993-12-31,0.0706,0.030699999999999998,0.14210957589263107,0.1644459431669278
1994-12-31,-0.0154,0.0437,-0.08036655550998592,-0.012313818260180243
1995-12-31,0.3411,0.056600000000000004,0.23480780112538907,0.20087516571052572
1996-12-31,0.2026,0.051500000000000004,0.01428607793401844,0.05279603494002166
1997-12-31,0.3101,0.052000000000000005,0.09939130272977531,0.11297255528327496
1998-12-31,0.2667,0.049100000000000005,0.14921431922606215,0.08104446384419747
1999-12-31,0.1953,0.0478,-0.08254214796268576,0.009706033412973908
2000-12-31,-0.1014,0.06,0.16655267125397488,0.0937835962329473
